Id,Label,League
2944,Büyüksehir Belediyesi Ankaraspor,Süper Lig
39722,Büyüksehir Belediye Erzurumspor,Süper Lig
6890,Büyüksehir Belediyespor,Süper Lig
589,Antalyaspor,Süper Lig
1511,Akcaabat Sebatspor,Süper Lig
825,Eskisehirspor,Süper Lig
152,Samsunspor,Süper Lig
449,Trabzonspor,Süper Lig
6,Adanaspor,Süper Lig
524,Gaziantepspor,Süper Lig
2323,Orduspor,Süper Lig
2292,Elazigspor,Süper Lig
1264,Malatyaspor,Süper Lig
20698,Balikesirspor,Süper Lig
1005,US Lecce,Seria A
430,AC Fiorentina,Seria A
252,Genoa CFC,Seria A
8970,Frosinone Calcio,Seria A
1025,Bologna FC 1909,Seria A
5,Milan AC,Seria A
6574,US Sassuolo,Seria A
46,FC Internazionale,Seria A
276,Hellas Verona,Seria A
1390,Cagliari Calcio,Seria A
6692,Novara Calcio 1908,Seria A
6195,SSC Napoli,Seria A
410,Udinese Calcio,Seria A
1210,AS Livorno,Seria A
1104,FC Messina Peloro,Seria A
607,AC Venezia 1907,Seria A
4083,FC Crotone,Seria A
506,Juventus FC,Seria A
4102,Carpi FC 1909,Seria A
2921,Delfino Pescara 1936,Seria A
1047,Como Calcio,Seria A
4171,Benevento Calcio,Seria A
12,AS Roma,Seria A
416,Torino Calcio,Seria A
332,AS Bari,Seria A
1385,Modena FC 2018,Seria A
800,Atalanta BC,Seria A
2655,Vicenza Calcio,Seria A
1387,AC Siena,Seria A
408,Ascoli Calcio 1898,Seria A
1386,Reggina Calcio,Seria A
398,SS Lazio,Seria A
1038,UC Sampdoria,Seria A
862,Chievo Verona,Seria A
130,AC Parma,Seria A
1408,Piacenza FC,Seria A
19,Brescia Calcio,Seria A
2722,SPAL 2013,Seria A
749,FC Empoli,Seria A
1627,Calcio Catania,Seria A
1388,Ancona Calcio,Seria A
458,US Palermo,Seria A
2251,ACD Treviso,Seria A
1429,AC Cesena,Seria A
839,AC Perugia,Seria A
23911,Gandzasar Kapan,Other
12521,SK Tavriya Simferopol II,Other
3696,Dagenham & Redbridge FC,Other
2336,RC Mechelen,Other
14816,SK Ceske Budejovice U21,Other
12524,Ankara Demirspor,Other
14542,Club Atlético Temperley,Other
36757,FC Velke Mezirici,Other
2573,FK Zeljeznicar Sarajevo,Other
13607,Liberty Professionals Accra,Other
110,SV Wacker Burghausen,Other
7469,DOTO Pernis,Other
3166,Pau FC,Other
3280,Associação Desportiva Confiança (SE),Other
28097,Dinamo Kostroma,Other
11143,Bishop's Stortford FC,Other
11133,Tampereen Peli-Pojat-70,Other
6549,VV De Bataven Gendt,Other
15300,Dinamo Samarqand,Other
11688,Giresunspor,Other
11747,Krylya Sovetov Samara II,Other
2331,US Avellino,Other
37573,Chalkanoras Idaliou,Other
7053,AO Manis,Other
3957,TuS Dornberg,Other
12824,SC Feignies,Other
4275,Caldas SC,Other
19639,Ethnikos Filippiadas,Other
4745,Bangu Atlético Clube (RJ),Other
2352,CD América de Cali,Other
4405,FC St. Veit,Other
2878,SV Huizen,Other
7831,Brisbane Roar,Other
39807,Diyarbekirspor,Other
